country_code,country_name,indicator_name,indicator_code,year,value,source_url,fetch_ts
EGY,"Egypt, Arab Rep.",GDP_PC,NY.GDP.PCAP.CD,2022,4233.30783744856,https://api.worldbank.org/v2/country/EGY/indicator/NY.GDP.PCAP.CD?format=json&per_page=100&date=2000:2023&page=1,2026-05-21T05:43:17.194697
EGY,"Egypt, Arab Rep.",GDP_PC,NY.GDP.PCAP.CD,2021,3827.35415374308,https://api.worldbank.org/v2/country/EGY/indicator/NY.GDP.PCAP.CD?format=json&per_page=100&date=2000:2023&page=1,2026-05-21T05:43:17.194711
EGY,"Egypt, Arab Rep.",GDP_PC,NY.GDP.PCAP.CD,2020,3511.11381026379,https://api.worldbank.org/v2/country/EGY/indicator/NY.GDP.PCAP.CD?format=json&per_page=100&date=2000:2023&page=1,2026-05-21T05:43:17.194722
EGY,"Egypt, Arab Rep.",GDP_PC,NY.GDP.PCAP.CD,2019,2962.98892023003,https://api.worldbank.org/v2/country/EGY/indicator/NY.GDP.PCAP.CD?format=json&per_page=100&date=2000:2023&page=1,2026-05-21T05:43:17.194732
EGY,"Egypt, Arab Rep.",GDP_PC,NY.GDP.PCAP.CD,2018,2484.70315630508,https://api.worldbank.org/v2/country/EGY/indicator/NY.GDP.PCAP.CD?format=json&per_page=100&date=2000:2023&page=1,2026-05-21T05:43:17.194743
EGY,"Egypt, Arab Rep.",GDP_PC,NY.GDP.PCAP.CD,2017,2395.10333299491,https://api.worldbank.org/v2/country/EGY/indicator/NY.GDP.PCAP.CD?format=json&per_page=100&date=2000:2023&page=1,2026-05-21T05:43:17.194754
EGY,"Egypt, Arab Rep.",GDP_PC,NY.GDP.PCAP.CD,2016,3270.6287768197,https://api.worldbank.org/v2/country/EGY/indicator/NY.GDP.PCAP.CD?format=json&per_page=100&date=2000:2023&page=1,2026-05-21T05:43:17.194766
EGY,"Egypt, Arab Rep.",GDP_PC,NY.GDP.PCAP.CD,2015,3306.98159414141,https://api.worldbank.org/v2/country/EGY/indicator/NY.GDP.PCAP.CD?format=json&per_page=100&date=2000:2023&page=1,2026-05-21T05:43:17.194776
EGY,"Egypt, Arab Rep.",GDP_PC,NY.GDP.PCAP.CD,2014,3133.39102265541,https://api.worldbank.org/v2/country/EGY/indicator/NY.GDP.PCAP.CD?format=json&per_page=100&date=2000:2023&page=1,2026-05-21T05:43:17.194787
EGY,"Egypt, Arab Rep.",GDP_PC,NY.GDP.PCAP.CD,2013,3025.52563552448,https://api.worldbank.org/v2/country/EGY/indicator/NY.GDP.PCAP.CD?format=json&per_page=100&date=2000:2023&page=1,2026-05-21T05:43:17.194803
EGY,"Egypt, Arab Rep.",GDP_PC,NY.GDP.PCAP.CD,2012,2996.0677072015,https://api.worldbank.org/v2/country/EGY/indicator/NY.GDP.PCAP.CD?format=json&per_page=100&date=2000:2023&page=1,2026-05-21T05:43:17.194814
EGY,"Egypt, Arab Rep.",GDP_PC,NY.GDP.PCAP.CD,2011,2590.64384891965,https://api.worldbank.org/v2/country/EGY/indicator/NY.GDP.PCAP.CD?format=json&per_page=100&date=2000:2023&page=1,2026-05-21T05:43:17.194824
EGY,"Egypt, Arab Rep.",GDP_PC,NY.GDP.PCAP.CD,2010,2455.08194645282,https://api.worldbank.org/v2/country/EGY/indicator/NY.GDP.PCAP.CD?format=json&per_page=100&date=2000:2023&page=1,2026-05-21T05:43:17.194835
EGY,"Egypt, Arab Rep.",GDP_PC,NY.GDP.PCAP.CD,2009,2161.63964573927,https://api.worldbank.org/v2/country/EGY/indicator/NY.GDP.PCAP.CD?format=json&per_page=100&date=2000:2023&page=1,2026-05-21T05:43:17.194856
EGY,"Egypt, Arab Rep.",GDP_PC,NY.GDP.PCAP.CD,2008,1896.21594269779,https://api.worldbank.org/v2/country/EGY/indicator/NY.GDP.PCAP.CD?format=json&per_page=100&date=2000:2023&page=1,2026-05-21T05:43:17.194867
EGY,"Egypt, Arab Rep.",GDP_PC,NY.GDP.PCAP.CD,2007,1547.74170735909,https://api.worldbank.org/v2/country/EGY/indicator/NY.GDP.PCAP.CD?format=json&per_page=100&date=2000:2023&page=1,2026-05-21T05:43:17.194877
EGY,"Egypt, Arab Rep.",GDP_PC,NY.GDP.PCAP.CD,2006,1298.97900203124,https://api.worldbank.org/v2/country/EGY/indicator/NY.GDP.PCAP.CD?format=json&per_page=100&date=2000:2023&page=1,2026-05-21T05:43:17.194888
EGY,"Egypt, Arab Rep.",GDP_PC,NY.GDP.PCAP.CD,2005,1105.53920713903,https://api.worldbank.org/v2/country/EGY/indicator/NY.GDP.PCAP.CD?format=json&per_page=100&date=2000:2023&page=1,2026-05-21T05:43:17.194898
EGY,"Egypt, Arab Rep.",GDP_PC,NY.GDP.PCAP.CD,2004,991.255689145253,https://api.worldbank.org/v2/country/EGY/indicator/NY.GDP.PCAP.CD?format=json&per_page=100&date=2000:2023&page=1,2026-05-21T05:43:17.194909
